Id;DESCRIPCION;NUMERO_PROCESO;ESTADO;TIPO_PROCESO;UNIDAD_CONTRATACION;VALOR_ESTIMADO;FASE_ACTUAL;ENTIDAD_ESTATAL;FECHA_PUBLICACION;FECHA_OFERTAS;CODIGO_NOTICE;FECHA_PRESENTACION;TIPO_CONTRATO;JUSTIFICACION_CONTRATO;FECHA_TERMINACION;DESCRIPCION_CONTRATO;VALOR_ESTIMADO_ADQUISICIONES;CODIGO_UNSPSC;Licita
1026;PRESTAR SERVICIO DE SOPORTO Y ACTUALIZACION DE SISTEMA DE GESTION DOCUMENTAL;CTO-059-2024 M7.DOCT S.A.S;Publicado;Contratación régimen especial;UNIDAD DE CONTRATACION DIRECTA;33560383;Presentación de oferta;IFC;13 días de tiempo transcurrido (25/04/2024 5:44:51 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6034921;-;Decreto 092 de 2017;Decreto 092 de 2017;17 días de tiempo transcurrido (22/04/2024 12:00:00 AM(UTC-05:00) Bogotá, Lima, Quito);PRESTAR EL SERVICIO DE SOPORTE Y ACTUALIZACIÓN DEL SISTEMA DE GESTIÓN DOCUMENTAL QF DOCUMENT  DEL INSTITUTO FINANCIERO DE CASANARE;37000000;43232202 - Software de manejo de documentos;
1027;PAPIRO CLOUD;OFB-CD-PC-003-2024*;Proceso adjudicado y celebrado;Contratación directa.;Dirección Corporativa y de Talento Humano;77950908;Presentación de oferta;ORQUESTA FILARMONICA DE BOGOTA;15 días de tiempo transcurrido (23/04/2024 4:26:33 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6021941;-;Prestación de servicios;No existe pluralidad de oferentes en el mercado;23/04/2025 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Prestar los servicios de mantenimiento, soporte y actualización del sistema PAPIRO CLOUD para la Orquesta Filarmónica de Bogotá.;77950908;43232202 - Software de manejo de documentos;
1028;PAPIRO CLOUD;OFB-CD-PC-003-2024;Proceso cancelado;Contratación directa (con ofertas);Dirección Corporativa y de Talento Humano;77950908;Presentación de oferta;ORQUESTA FILARMONICA DE BOGOTA;15 días de tiempo transcurrido (23/04/2024 3:11:44 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6020885;15 días de tiempo transcurrido (23/04/2024 3:51:00 PM(UTC-05:00) Bogotá, Lima, Quito);Otro;No existe pluralidad de oferentes en el mercado;24/04/2025 11:59:00 AM ((UTC-05:00) Bogotá, Lima, Quito);Prestar los servicios de mantenimiento, soporte y actualización del sistema PAPIRO CLOUD para la Orquesta Filarmónica de Bogotá.;77950908;43232202 - Software de manejo de documentos;
1029;CONTRATACION REGIMEN ESPECIAL;100-10-10.5-22-2024;Proceso adjudicado y celebrado;Contratación régimen especial;EMPRESAS MUNICIPALES DE TULUA E.S.P;11330000;Presentación de oferta;EMPRESAS MUNICIPALES DE TULUA E.S.P.;21 días de tiempo transcurrido (17/04/2024 7:52:43 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5997177;-;Decreto 092 de 2017;Decreto 092 de 2017;27/12/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ACTUALIZACION, CAPACITACION Y SOPORTE DEL SOFTWARE PARA MANEJO SISTEMATIZADO DE VENTANILLA UNICA PQRS Y GESTION DE CORRESPONDENCIA INTERNA Y EXTERNA DE EMPRESAS MUNICIPALES DE TULUA- EMTULUA E.S.P.;0;43232202 - Software de manejo de documentos;
1030;Software Académico para la Institución Educativa Agropecuaria Pueblo Totoró.;IEAPT 001 2024;Publicado;Contratación régimen especial;INSTITUCION EDUCATIVA AGROPECAURIA PUEBLO TOTORO;1300000;Presentación de oferta;INSTITUCION EDUCATIVA AGROPECUARIA PUEBLO TOTORO;29 días de tiempo transcurrido (9/04/2024 9:17:52 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5951907;-;Prestación de servicios;Regla aplicable;31/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Software Académico para la Institución Educativa Agropecuaria Pueblo Totoró.;1400000;43232202 - Software de manejo de documentos;
1031;Renovación de los servicios para la Sede electrónica y diseño, desarrollo e implementación de la intranet;2024-065;Proceso adjudicado y celebrado;Contratación régimen especial;COMISION DE REGULACION DE ENERGIA Y GAS;130996000;Presentación de oferta;COMISION DE REGULACION DE ENERGIA Y GAS;7/03/2024 6:09:36 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5800752;-;Decreto 092 de 2017;Decreto 092 de 2017;29 días para terminar (7/06/2024 11:59:00 PM(UTC-05:00) Bogotá, Lima, Quito);Renovación de los servicios para la Sede electrónica y diseño, desarrollo e implementación de la intranet;568483595;43232202 - Software de manejo de documentos;
1032;CONTRATAR EL MANTENIMIENTO Y SOPORTE DE LOS MODULOS HABILITADOS AL SOFTWARE DEL SISTEMA GESTION DOCUMENTAL SIMAD 5 Y A LOS MODULOS ADICIONALES DE PQRS Y VENTANILLA UNICA VIRTUAL PARA LA ESE CARMEN EMI;0115-BYS-2024;Proceso adjudicado y celebrado;Contratación régimen especial;OFICINA DE CONTRATACION;10000000;Presentación de oferta;COMPRADOR ESE CARMEN EMILIA OSPINA PERFIL;26/02/2024 9:35:08 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5730206;-;Otro;Regla aplicable;26/07/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);CONTRATAR EL MANTENIMIENTO Y SOPORTE DE LOS MODULOS HABILITADOS AL SOFTWARE DEL SISTEMA GESTION DOCUMENTAL SIMAD 5 Y A LOS MODULOS ADICIONALES DE PQRS Y VENTANILLA UNICA VIRTUAL PARA LA ESE CARMEN EMILIA OSPINA;0;43232202 - Software de manejo de documentos;
1033;Suscripción para el acceso vía web a las publicaciones técnicas y operacionales de la flota ATR que opera SATENA;CTO 001 DE 2024;Publicado;Contratación régimen especial;Área de Contratos;355719840;Presentación de oferta;SERVICIO AEREO A TERRITORIOS NACIONALES S.A.;22/02/2024 10:09:19 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5711030;-;Otro;Regla aplicable;31/12/2024 11:59:00 AM ((UTC-05:00) Bogotá, Lima, Quito);Suscripción para el acceso vía web a las publicaciones técnicas y operacionales de la flota ATR que opera SATENA;355719840;43232202 - Software de manejo de documentos;
1034;ACTUALIZACIÓN, MANTENIMIENTO Y SOPORTE DE LAS LICENCIAS DEL SOFTWARE DE GESTIÓN DOCUMENTAL MERCURIO;CO 04 2024;Proceso adjudicado y celebrado;Contratación directa (con ofertas);Contratación Ordinaria (Con Oferta);85547536;Presentación de oferta;EMPRESA DE DESARROLLO URBANO DE MEDELLIN -EDU-;15/02/2024 2:18:55 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5665044;16/02/2024 10:00:00 AM ((UTC-05:00) Bogotá, Lima, Quito);Otro;No existe pluralidad de oferentes en el mercado;31/12/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ACTUALIZACIÓN, MANTENIMIENTO Y SOPORTE DE LAS LICENCIAS DEL SOFTWARE DE GESTIÓN DOCUMENTAL MERCURIO;94957764;43232202 - Software de manejo de documentos;
1035;EL CONTRATISTA se obliga con ALDESARROLLO a prestar sus servicios especializados para llevar a cabo la organización y digitalización de archivos de gestión, clasificación, depuración, primeros auxilio;CP-PR-2023-511;Publicado;Contratación régimen especial;SECRETARIA GENERAL;276072899;Presentación de oferta;ALDESARROLLO (COMPRADOR);12/02/2024 12:41:19 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5638552;-;Prestación de servicios;Regla aplicable;30/12/2023 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);"EL CONTRATISTA se obliga con ALDESARROLLO a prestar sus servicios especializados para llevar a cabo la organización y digitalización de archivos de gestión, clasificación, depuración, primeros
auxilios, elaboración de hojas control, inventario documental, identificación y rotulado de 130 metros lineales de inventario documental en estado natural.";0;43232202 - Software de manejo de documentos;
1036;El CONTRATISTA se obliga con ALDESARROLLO a prestar los servicios profesionales integrados de apoyo a la gestión documental para la organización, planes y procesos de la gestión del fondo documental c;CP-PR-2023-505;Publicado;Contratación régimen especial;SECRETARIA GENERAL;443982662;Presentación de oferta;ALDESARROLLO (COMPRADOR);12/02/2024 12:34:54 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5638819;-;Prestación de servicios;Regla aplicable;30/12/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);El CONTRATISTA se obliga con ALDESARROLLO a prestar los servicios profesionales integrados de apoyo a la gestión documental para la organización, planes y procesos de la gestión del fondo documental conforme a lo requerido por la supervisión del contrato y de acuerdo con la normatividad archivística vigente.;0;43232202 - Software de manejo de documentos;
1037;EL CONTRATISTA se obliga con ALDESARROLLO a la prestación de servicios especializados de apoyo a la organización del proceso de gestión documental, elaboración y/o actualización del Sistema Integrado;CP-PR-2023-504;Publicado;Contratación régimen especial;SECRETARIA GENERAL;5249186448;Presentación de oferta;ALDESARROLLO (COMPRADOR);12/02/2024 12:27:33 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5638807;-;Prestación de servicios;Regla aplicable;30/12/2023 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);"EL CONTRATISTA se obliga con ALDESARROLLO a la prestación de servicios especializados de apoyo a la organización del proceso de gestión documental, elaboración y/o actualización del Sistema
Integrado de Conservación SIC y la actualización del Programa de Gestión Documental PGD.";0;43232202 - Software de manejo de documentos;
1038;CARLOS ALBERTO ORTIZ ZAMORA / OZRED;006 -2023;Proceso en evaluación y observaciones;Contratación régimen especial;UNIDAD;1150000;Presentación de oferta;INSTITUCION EDUCATIVA MADRIGAL SAN FRANCISCO DE ASIS;11/02/2024 1:19:53 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5635030;-;Otro;Regla aplicable;30/11/2023 6:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ADQUISICION DE SOFTWARE EDUCATIVO NECESARIO PARA EL FUCIONAMIENTO DE LA INSTITUCIÓN EDUCATIVA;0;43232202 - Software de manejo de documentos;
1039;Prestación de servicios;CS-220124-03;Publicado;Contratación régimen especial;Dirección Jurídica;29700000;Presentación de oferta;Fondo Mixto de Promoción Cinematográfica 'Proimágenes Colombia';10/02/2024 11:36:14 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5635019;-;Prestación de servicios;Regla aplicable;31/12/2024 12:00:00 AM ((UTC-05:00) Bogotá, Lima, Quito);"suministro de software como servicio (en adelante SaaS) por Colfuturo, para que Proimágenes acceda y utilice, a través de la web y de manera no-exclusiva, un (1) programa de software (en adelante, el Software) de aplicación denominado Plataforma Integrada de Convocatoria (en adelante el Aplicativo PLIC), para la postulación de proyectos de la convocatoria de estímulos del Fondo para el Desarrollo
Cinematográfico (ley 814 de 2003).";0;43232202 - Software de manejo de documentos;
1040;Prestación de servicios;CS-220124-01;Publicado;Contratación régimen especial;Dirección Jurídica;9900000;Presentación de oferta;Fondo Mixto de Promoción Cinematográfica 'Proimágenes Colombia';10/02/2024 11:24:17 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5634934;-;Prestación de servicios;Regla aplicable;31/12/2024 12:00:00 AM ((UTC-05:00) Bogotá, Lima, Quito);Suministro de software como servicio (en adelante SaaS) por Colfuturo, para que Proimágenes acceda y utilice, a través de la web y de manera no-exclusiva, un (1) programa de software (en adelante, el Software) de aplicación denominado Plataforma Integrada de Convocatoria (en adelante el Aplicativo PLIC), para la postulación de proyectos del incentivo del Fondo Fílmico Colombia, el programa Bogotá Audiovisual Market y de otras convocatorias adelantadas por Proimágenes.;10000000;43232202 - Software de manejo de documentos;
1041;Prestación de servicios;CS-040124-01;Publicado;Contratación régimen especial;Dirección Jurídica;26400000;Presentación de oferta;Fondo Mixto de Promoción Cinematográfica 'Proimágenes Colombia';10/02/2024 9:59:09 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5634390;-;Prestación de servicios;Regla aplicable;31/12/2024 12:00:00 AM ((UTC-05:00) Bogotá, Lima, Quito);Este contrato tiene por objeto el suministro de software como servicio (en adelante SaaS) por Colfuturo, para que Proimágenes acceda y utilice, a través de la web y de manera no-exclusiva, un (1) programa de software (en adelante, el Software) de aplicación denominado Plataforma integrada de Convocatoria (en adelante el Aplicativo PLIC), para la postulación de proyectos del incentivo mediante Certificados de Inversión Audiovisual en Colombia (ley 1556 de 2012).;0;43232202 - Software de manejo de documentos;
1042;RENOVACIÓN SUSCRIPCIÓN MAKE MAKE;2024-0440;Proceso adjudicado y celebrado;Contratación directa (con ofertas);BPP;13581997;Presentación de oferta;BIBLIOTECA PUBLICA PILOTO DE MEDELLIN PARA AMERICA LATINA;19 días de tiempo transcurrido (19/04/2024 11:06:49 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6005610;16 días de tiempo transcurrido (22/04/2024 6:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);Compraventa;No existe pluralidad de oferentes en el mercado;30/04/2025 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Renovación de la suscripción, soporte, actualización y administración de la plataforma de libros electrónicos e interactivos Make Make, para fortalecer y complementar las colecciones digitales y facilitar el acceso a los usuarios de la Biblioteca Pública Piloto de Medellín para América Latina.;126418003;43232301 - Software de categorización o clasificación;
1043;SERVICIO DE SOPORTE;CO 086 COGFM DIADF 2024;Proceso cancelado;Solicitud de información a los Proveedores;COMANDO GENERAL;0;Presentación de oferta;COMANDO GENERAL DE LAS FUERZAS MILITARES;22 días de tiempo transcurrido (16/04/2024 9:56:13 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5986537;15 días de tiempo transcurrido (23/04/2024 4:00:00 PM(UTC-05:00) Bogotá, Lima, Quito); ; ;29/11/2024 6:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);CONTRATAR EL SERVICIO DE SOPORTE, MANTENIMIENTO PREVENTIVO, CORRECTIVO Y EVOLUTIVO DEL SISTEMA DE INFORMACIÓN GERENCIAL DE OPERACIONES E INTELIGENCIA (BISIGOI), INTEGRADO CON EL SISTEMA DE SEGURIDAD HÉRCULES DEL COMANDO GENERAL DE LAS FUERZAS MILITARES, de acuerdo con las especificaciones técnicas anexas;400000000;43232301 - Software de categorización o clasificación;
1044;Adquirir la suscripción de la herramienta de análisis y visualización de datos Tableau;0009015262;Proceso en evaluación y observaciones;Mínima cuantía;SECRETARÍA SUMINISTROS Y SERVICIOS;26249655;Presentación de oferta;DISTRITO ESPECIAL DE CIENCIA TECNOLOGIA E INNOVACION DE MEDELLIN;28 días de tiempo transcurrido (10/04/2024 7:04:45 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5962922;22 días de tiempo transcurrido (16/04/2024 2:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);Suministros;Presupuesto inferior al 10% de la menor cuantía;1/05/2025 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Adquirir la suscripción de la herramienta de análisis y visualización de datos Tableau;0;43232301 - Software de categorización o clasificación;
1045;PRESTACIÓN DE SERVICIOS;CTO P.S 064;Proceso adjudicado y celebrado;Contratación directa.;SECRETARIA DE HACIENDA;30450000;Presentación de oferta;MUNICIPIO DE ABEJORRAL;15/02/2024 11:30:58 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5663712;-;Prestación de servicios;Servicios profesionales y apoyo a la gestión;31/12/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);"PRESTACIÓN DE SERVICIOS PROFESIONALES Y DE APOYO A LA GESTIÓN
EN EL SOPORTE, CONTROL Y ATENCIÓN A TRAVÉS DE LA PLATAFORMA
ARIESNET DE LA SECRETARIA DE HACIENDA Y DESARROLLO ECONÓMICO";0;43232301 - Software de categorización o clasificación;
1046;Contratar el servicio de una plataforma tecnológica de gestión Omnicanal integrada para el centro de contacto telefónico y digital de Servicios Postales Nacionales S.A. a nivel nacional;CD023-2024;Publicado;Contratación régimen especial;Grupo de contratación;420000000;Presentación de oferta;SERVICIOS POSTALES NACIONALES S.A.S;15 días de tiempo transcurrido (23/04/2024 12:49:01 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6020092;-;Prestación de servicios;Regla aplicable; ;"Contratar el servicio de una plataforma tecnológica de gestión Omnicanal integrada para el 
centro de contacto telefónico y digital de Servicios Postales Nacionales S.A. a nivel 
nacional, lo que en adelante se denominará plataforma tecnológica de gestión de servicio 
Omnicanal tipo SaaS.";420000000;43232303 - Software de manejo de relaciones con el cliente crm;
1047;Cobro Persuasivo;SIC 10 DE 2024;Publicado;Selección abreviada menor cuantía;Unidad de Contratación - Grupo de contratación SIC;163440158;Presentación de observaciones;SIC SUPERINTENDENCIA DE INDUSTRIA Y COMERCIO;7 horas de tiempo transcurrido (8/05/2024 5:48:16 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6099041;19 días para terminar (28/05/2024 12:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);Prestación de servicios;Menor Cuantía;20/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Prestación de servicios para apoyar en las actuaciones de Cobro Persuasivo, adelantadas por la Superintendencia de Industria y Comercio, a través de la implementación de herramientas tecnológicas.;0;43232304 - Software de sistemas de manejo de base datos;
1048;RENOVACIÓN DE LICENCIA DE SOFTWARE MASTER 2000 PARA LA SISTEMATIZACIÓN DE LA INFORMACIÓN ACADÉMICA DE LA INSTITUCIÓN EDUCA TIVA ANA GÓMEZ DE SIERRA;005-2024;Publicado;Contratación régimen especial;IEAGDS_FSE;3634000;Presentación de oferta;IEAGDS;12 horas de tiempo transcurrido (8/05/2024 12:32:37 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6095762;-;Prestación de servicios;Regla aplicable;31/12/2024 12:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);"RENOVACIÓN DE LICENCIA DE SOFTWARE MASTER 2000 PARA LA
SISTEMATIZACIÓN DE LA INFORMACIÓN ACADÉMICA DE LA
INSTITUCIÓN EDUCA TIVA ANA GÓMEZ DE SIERRA";3634000;43232304 - Software de sistemas de manejo de base datos;
1049;SIC 14 DE 2024;SIC 14 DE 2024;Publicado;Selección abreviada subasta inversa;Unidad de Contratación - Grupo de contratación SIC;442391500;Presentación de observaciones;SIC SUPERINTENDENCIA DE INDUSTRIA Y COMERCIO;1 día de tiempo transcurrido (7/05/2024 12:18:04 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6088070;14 días para terminar (23/05/2024 4:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);Compraventa;Bienes y servicios de características técnicas uniformes y común utilización; ;Renovación de las suscripciones de soporte y actualización de las herramientas que integran el motor de base de datos IBM INFORMIX para la Superintendencia de Industria y Comercio;600000000;43232304 - Software de sistemas de manejo de base datos;
1050;SOFTWARE DE NOTAS;05-2024;Publicado;Contratación régimen especial;INSTITUCIÓN EDUCATIVA LA MILAGROSA;6450000;Presentación de oferta;INSTITUCION EDUCATIVA LA MILAGROSA;2 días de tiempo transcurrido (6/05/2024 10:36:57 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6085507;-;Prestación de servicios;Regla aplicable;24 días para terminar (2/06/2024 12:00:00 PM(UTC-05:00) Bogotá, Lima, Quito); ;6500000;43232304 - Software de sistemas de manejo de base datos;
1051;SERVICIOS EN TECNOLOGIAS DE LA INFORMACION DE COLOMBIA SAS;063-2024;Publicado;Contratación régimen especial;OFICINA CONTRATACIÓN;2921450;Presentación de oferta;EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTA MARTA;2 días de tiempo transcurrido (6/05/2024 4:05:51 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6082378;-;Suministros;Regla aplicable;30/06/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);"ACTUALIZACION DE LA LICENCIA OEL
SOFTWARE SIBACOM PLUS2O22 PARA LA EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTA MARTA DE SAMACA";2921450;43232304 - Software de sistemas de manejo de base datos;
1052;"SERVICIO DE RENOVACIÓN DE LICENCIA, ACTUALIZACIÓN DE SOFTWARE, Y ASISTENCIA TÉCNICA DEL SOFTWARE TECNI-RTM PARA EL CENTRO DE DIAGNOSTICO AUTOMOTOR DENTRO DEL MARCO DEL PROYECTO ""FORTALECIMIENTO DE LA";UNOF-DTB-002-2024;Proceso adjudicado y celebrado;Contratación directa.;OFICINA ASESORA DE CONTRATACION;20921152;Presentación de oferta;DIRECCION DE TRANSITO DE BUCARAMANGA;2 días de tiempo transcurrido (6/05/2024 2:13:51 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6081327;-;Prestación de servicios;No existe pluralidad de oferentes en el mercado; ;"SERVICIO DE RENOVACIÓN DE LICENCIA, ACTUALIZACIÓN DE SOFTWARE, Y ASISTENCIA TÉCNICA DEL SOFTWARE TECNI-RTM PARA EL CENTRO DE DIAGNOSTICO AUTOMOTOR DENTRO DEL MARCO DEL PROYECTO ""FORTALECIMIENTO DE LA GESTIÓN OPERATIVA PARA LA EFICIENTE PRESTACIÓN DE SERVICIOS DEL CENTRO DE DIAGNÓSTICO AUTOMOTOR DE LA DIRECCIÓN DE TRÁNSITO DE BUCARAMANGA ENMARCADO DENTRO DEL PROYECTO DE INVERSIÓN FORTALECIMIENTO DE LA GESTIÓN OPERATIVA PARA LA EFICIENTE PRESTACIÓN DE SERVICIOS DEL CENTRO DE DIAGNOSTICO AUTOMOTOR";20921152;43232304 - Software de sistemas de manejo de base datos;
1053;Renovar la suscripción al servicio de acceso a la colección de libros electrónicos de OVERDRIVE, para el fortalecimiento de los recursos bibliográficos electrónicos, para la comunidad académica y admi;113-2024;Proceso adjudicado y celebrado;Contratación directa.;Oficina Asesora Jurídica;38000000;Presentación de oferta;INSTITUCION UNIVERSITARIA DE ENVIGADO;2 días de tiempo transcurrido (6/05/2024 10:23:49 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6079393;-;Prestación de servicios;No existe pluralidad de oferentes en el mercado;6/05/2025 11:59:00 AM ((UTC-05:00) Bogotá, Lima, Quito);Renovar la suscripción al servicio de acceso a la colección de libros electrónicos de OVERDRIVE, para el fortalecimiento de los recursos bibliográficos electrónicos, para la comunidad académica y administrativa de la Institución Universitaria de Envigado.;35000000;43232304 - Software de sistemas de manejo de base datos;
1054;"SUMINISTRO DE APLICATIVO "" ACADEMIC REPORTS""";IECIM-24- 3;Publicado;Contratación régimen especial;IE CORINMACULADO;1883500;Presentación de oferta;INSTITUCION EDUCATIVA CORAZON INMACULADO DE MARIA;2 días de tiempo transcurrido (6/05/2024 8:29:57 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6078882;-;Prestación de servicios;Regla aplicable;20/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);"SUMINISTRO DE APLICATIVO "" ACADEMIC REPORTS"" PARA LA GESTION DE NOTAS DE LA INSTITUCION EDUCATIVA CORAZON INMACULADO DE MARIA";0;43232304 - Software de sistemas de manejo de base datos;
1055;PRESTACION DE SERVICIO EN LA NUBE PARA EL SISTEMA DE INFORMACIÒN DE GESTIÒN ACADEMICA (GESTACOL) EN LA INSTITUCIÓN EDUCATIVA ORIENTAL FEMENINO DEL MUNICIPIO DE TAME ARAUCA VIGENCIA 2024;IEOF-002-2024;Publicado;Contratación régimen especial;JOSE LEONARDO CARVAJAL MENDEZ;2200000;Presentación de oferta;INSTITUCIÒN EDUCATIVA ORIENTAL FEMENINO;5 días de tiempo transcurrido (3/05/2024 4:00:48 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6072230;-;Decreto 092 de 2017;Decreto 092 de 2017;9 horas de tiempo transcurrido (8/05/2024 4:00:00 PM(UTC-05:00) Bogotá, Lima, Quito); ;2200000;43232304 - Software de sistemas de manejo de base datos;
1056;"""MANTENIMIENTO Y SOPORTE DE LA PLATAFORMA DDOS E IPS SEGURIDAD (CIBERDEFENSA) CUYO FIN ES EL FORTALECIMIENTO DE LOS MEDIOS CIBERNÉTICOS DEL EJÉRCITO NACIONAL, A EJECUTAR EN LA VIGENCIA 2024"". (Manifes";SAMC-050-CENACTELEMATICA-2024 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta);Proceso en evaluación y observaciones;Selección abreviada menor cuantía;CENACTELEMATICA;133656596,9;Presentación de oferta;CENTRAL ADMINISTRATIVA Y CONTABLE TELEMATICA;5 días de tiempo transcurrido (3/05/2024 9:03:38 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6068537;2 días de tiempo transcurrido (6/05/2024 11:00:00 AM(UTC-05:00) Bogotá, Lima, Quito);Otro;Menor Cuantía;16/12/2024 11:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);"""MANTENIMIENTO Y SOPORTE DE LA PLATAFORMA DDOS E IPS SEGURIDAD (CIBERDEFENSA) CUYO FIN ES EL FORTALECIMIENTO DE LOS MEDIOS CIBERNÉTICOS DEL EJÉRCITO NACIONAL, A EJECUTAR EN LA VIGENCIA 2024"".";0;43232304 - Software de sistemas de manejo de base datos;
1057;MANTENIMIENTO Y SOPORTE DE LA PLATAFORMA CORRELACIONADOR DE EVENTOS QRADAR (QRADAR CIBERDEFENSA) IBM QRADAR, A EJECUTAR EN LA VIGENCIA 2024 (Manifestación de interés (Menor Cuantía)) (Presentación de;SAMC-055-CENACTELEMATICA-2024 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta);Publicado;Selección abreviada menor cuantía;CENACTELEMATICA;119459340;Presentación de oferta;CENTRAL ADMINISTRATIVA Y CONTABLE TELEMATICA;5 días de tiempo transcurrido (3/05/2024 9:01:03 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6068715;10 horas para terminar (9/05/2024 11:00:00 AM(UTC-05:00) Bogotá, Lima, Quito);Prestación de servicios;Menor Cuantía;27/12/2024 11:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);MANTENIMIENTO Y SOPORTE DE LA PLATAFORMA CORRELACIONADOR DE EVENTOS QRADAR (QRADAR CIBERDEFENSA) IBM QRADAR, A EJECUTAR EN LA VIGENCIA 2024;0;43232304 - Software de sistemas de manejo de base datos;
1058;CONTRATO DE SERVICIOS DE LICENCIAMIENTO EN LA NUBE;IEH 001-2024;Publicado;Contratación régimen especial;EQUIPO COMPRADOR DE REGIMEN ESPECIAL;1330000;Presentación de oferta;INSTITUCION EDUCATIVA HOLANDA;5 días de tiempo transcurrido (3/05/2024 8:55:21 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6068523;-;Prestación de servicios;Regla aplicable;31/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Prestar el servicio de control académico y disciplinario almacenado en la nube del Portal de servicios Educativos ZETI;1300000;43232304 - Software de sistemas de manejo de base datos;
1059;CONTRATO ACTUALIZACION PROGRAMA DE NOTAS VIGENCIA 2024 IE INCODELCA;IEI-04-2024;Publicado;Contratación régimen especial;EQUIPO COMPRADOR DE REGIMEN ESPECIAL;5880000;Presentación de oferta;INSTITUCION EDUCATIVA INCODELCA;6 días de tiempo transcurrido (2/05/2024 6:26:13 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6066544;-;Prestación de servicios;Regla aplicable;30/11/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ARRENDAMIENTO Y ACTUALIZACION DE SOFWARE DE NOTAS PARA EL AÑO 2024;6000000;43232304 - Software de sistemas de manejo de base datos;
